px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
108.081	13.6666	1.55004	-0.176693	0.117233	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0477975
108.095	13.6706	1.60754	-0.160564	0.132867	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0393472
109.531	13.5681	1.64923	0.0466598	0.175071	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0183221
109.498	13.4994	1.55958	-0.0238801	0.133028	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	1.52632
111.055	12.6213	1.74686	-0.795273	-0.387833	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.77617
111.14	12.7051	2.06598	-0.577036	-0.155465	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.69075
112.896	12.4583	1.70134	-0.0724469	0.235333	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.55175
112.893	12.5097	1.77307	-0.0380485	0.263252	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	1.17592
114.781	12.5502	2.12151	0.159487	0.22177	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.296695
114.795	12.5157	1.96268	0.12089	0.200482	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.683852
116.679	12.1262	2.01436	-0.3129	-0.170324	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.885175
116.724	12.1275	2.26412	-0.26996	-0.111009	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.558383
118.934	11.9885	2.42255	0.0480631	0.148607	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.596014
118.912	12.0512	2.25495	0.08534	0.168897	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	1.29468
120.705	12.295	2.07544	0.219569	0.148477	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.097703
120.753	12.2809	2.21235	0.204882	0.136117	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.564231
123.521	12.8263	3.02715	0.157033	0.0211796	123.568	12.8297	122.95	12.5114	2.29835	0.246599	1.92739
123.43	12.8139	2.56771	0.162651	0.0351097	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.90817
124.927	12.7851	1.90817	0.0111391	-0.0753202	124.894	12.7743	125.242	12.8125	2.37624	0.369827	1.3824
125.032	12.8222	2.50231	0.0383381	-0.0469556	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.95906
127.826	13.3156	2.98247	0.300145	0.142355	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.961332
127.757	13.2957	2.74519	0.305982	0.162238	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.21898
129.954	13.7073	2.50791	0.191503	-0.00601304	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.299823
130.025	13.7183	2.50533	0.180015	-0.0114601	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.35698
132.098	14.4992	2.44837	0.418947	0.142715	132.092	14.507	132.53	14.458	2.55028	0.74543	0.16714
132.173	14.4792	2.71347	0.37144	0.0877114	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.34762
135.041	15.0508	3.13571	0.0570275	-0.161162	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.06442
135.04	14.9965	2.80389	0.0119265	-0.199063	135.127	14.6575	135.066	15.2513	2.58865	0.863795	1.28643
137.561	16.1889	2.75445	0.644675	0.314188	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.65383
137.593	16.2103	3.16407	0.565098	0.182654	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.24977
140.324	17.0235	2.90473	0.219355	-0.150247	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.881393
140.326	17.0807	2.96267	0.240321	-0.138094	140.305	17.5379	140.242	17.1733	2.63994	1.07503	1.32157
142.89	17.9849	2.97966	0.33805	0.00975963	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.138102
142.843	17.9989	2.98204	0.347347	0.0121765	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.710702
145.389	19.1583	3.06374	0.443234	0.064356	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0314008
145.468	19.1857	3.14225	0.43965	0.0613281	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.75071
148.238	20.4734	3.34212	0.412068	0.00489316	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.152893
148.213	20.5188	3.10695	0.470184	0.0782626	148.146	20.9376	148.163	20.7364	2.66951	1.29702	1.26218
150.682	22.1106	3.21919	0.608687	0.11549	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0349535
150.679	22.0797	3.31141	0.569972	0.0617494	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.477547
153.413	23.4938	3.32985	0.420801	-0.0708727	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.16532
153.402	23.436	3.09599	0.435859	-0.0272543	153.466	22.9115	153.491	23.3999	2.66999	1.3647	1.64989
156.04	24.8048	3.24012	0.4604	0.00522822	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0548098
156.026	24.8298	3.00121	0.511244	0.0763498	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.541408
158.879	26.0289	3.34082	0.309884	-0.0993814	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.639972
158.899	26.0425	3.21103	0.320543	-0.0794296	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.41274
161.42	27.419	3.1536	0.536635	0.104546	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.251347
161.444	27.46	3.07707	0.569278	0.142231	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.940132
163.633	28.7782	2.80099	0.551009	0.0427533	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.194644
163.741	28.8326	3.02707	0.523159	0.00410107	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.69461
166.79	30.1981	3.6241	0.307637	-0.135331	166.828	30.2062	166.809	30.0721	2.63006	1.22694	1.23068
166.747	30.1488	3.11566	0.334948	-0.0794228	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.91868
169.109	31.3675	2.97056	0.490716	0.0670096	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.23939
169.14	31.3191	2.98095	0.461575	0.0489621	169.345	30.7063	169.452	31.2706	2.61238	1.15075	1.77853
172.144	32.3387	3.40988	0.20925	-0.141481	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.898152
172.133	32.3553	3.05101	0.219289	-0.131155	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.933979
174.649	33.4524	2.99758	0.461126	0.100497	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.355464
174.623	33.4857	2.87094	0.49553	0.134292	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.879452
177.028	34.2134	2.70495	0.240471	-0.108684	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.422252
177.05	34.1879	2.62566	0.220904	-0.119509	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.63587
180.11	35.1293	3.31498	0.347189	0.0337145	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.52611
179.994	35.1451	2.79057	0.413951	0.109769	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.458
182.588	35.7608	2.86927	0.147362	-0.121941	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.39022
182.491	35.7792	2.59582	0.172711	-0.111024	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.90823
184.733	36.5059	2.58924	0.352889	0.0685417	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.203943
184.735	36.4851	2.37802	0.358673	0.0857863	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.57059
186.936	36.9487	2.45786	0.135819	-0.103393	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.263966
187.003	36.9563	2.50755	0.121285	-0.112835	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.12309
189.454	37.398	2.71346	0.194001	0.000246356	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.209872
189.484	37.3746	2.41107	0.1881	-0.00193798	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.38451
191.73	37.5673	2.49026	0.0364312	-0.0927339	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0695905
191.704	37.5329	2.28522	0.00570841	-0.122748	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.793145
193.485	37.2823	2.04724	-0.203844	-0.176334	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.177858
193.507	37.2962	2.16119	-0.181946	-0.148722	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.166424
195.951	37.3836	2.67552	0.198357	0.17337	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.60627
195.837	37.3898	2.0916	0.206642	0.182838	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.88198
197.72	37.7337	2.14716	0.224892	0.0845466	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.0668052
197.679	37.703	1.99206	0.206481	0.07442	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.877557
199.302	37.3118	1.71911	-0.327617	-0.284938	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	1.00773
199.317	37.321	1.82852	-0.302658	-0.253433	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0800024
201.497	36.9859	2.52196	-0.0359814	0.0653969	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.03041
201.357	37.0027	1.93207	-0.103448	-0.0340535	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.3205
202.968	36.4648	1.89285	-0.355523	-0.161121	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.118641
202.915	36.4942	1.66454	-0.384462	-0.221438	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	2.14591
204.006	36.1794	1.19932	-0.326086	-0.0627719	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.494076
204.01	36.1786	1.48329	-0.268497	0.0269006	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.18404
